analysis,mass,intensity
20240815_67_BVCZ_1,148019.046875,5188.17223449941
20240815_67_BVCZ_1,148019.1875,5154.48814769395
20240815_67_BVCZ_1,148019.5,5175.65259539038
20240815_67_BVCZ_1,148019.875,5190.1217361137
20240815_67_BVCZ_1,148019.96875,5172.23409606087
20240815_67_BVCZ_1,148020.125,5163.51498056956
20240815_67_BVCZ_1,148020.421875,5141.77928766774
20240815_67_BVCZ_1,148020.84375,5107.89333884043
20240815_67_BVCZ_1,148020.90625,5108.80764721121
20240815_67_BVCZ_1,148021.078125,5108.74736285755
20240815_67_BVCZ_1,148021.359375,5072.92993472709
20240815_67_BVCZ_1,148021.78125,5109.74357583372
20240815_67_BVCZ_1,148021.828125,5130.04676903362
20240815_67_BVCZ_1,148022.015625,5086.83637689644
20240815_67_BVCZ_1,148022.296875,5104.55400454228
20240815_67_BVCZ_1,148022.75,5180.22307129464
20240815_67_BVCZ_1,148022.75,5177.39143569009
20240815_67_BVCZ_1,148022.96875,5217.61558614663
20240815_67_BVCZ_1,148023.234375,5263.84434546554
20240815_67_BVCZ_1,148023.6875,5262.48371327716
20240815_67_BVCZ_1,148023.703125,5326.40431405268
20240815_67_BVCZ_1,148023.90625,5369.41446388801
20240815_67_BVCZ_1,148024.171875,5365.65457674974
20240815_67_BVCZ_1,148024.609375,5382.75191808481
20240815_67_BVCZ_1,148024.65625,5432.48205704878
20240815_67_BVCZ_1,148025.109375,5472.22434670917
20240815_67_BVCZ_1,148025.53125,5492.88696835242
20240815_67_BVCZ_1,148025.609375,5545.36557644883
20240815_67_BVCZ_1,148025.796875,5558.96034761968
20240815_67_BVCZ_1,148026.046875,5564.33450982104
20240815_67_BVCZ_1,148026.453125,5651.55935755885
20240815_67_BVCZ_1,148026.5625,5685.67638432661
20240815_67_BVCZ_1,148026.734375,5711.14258117578
20240815_67_BVCZ_1,148026.984375,5743.84068229127
20240815_67_BVCZ_1,148027.390625,5798.99951846217
20240815_67_BVCZ_1,148027.515625,5835.48621651982
20240815_67_BVCZ_1,148027.6875,5918.96211636775
20240815_67_BVCZ_1,148027.921875,5958.73404542586
20240815_67_BVCZ_1,148028.3125,5935.07461040515
20240815_67_BVCZ_1,148028.484375,5988.35308594113
20240815_67_BVCZ_1,148028.640625,6067.04041437495
20240815_67_BVCZ_1,148028.859375,6090.66520118029
20240815_67_BVCZ_1,148029.234375,6127.41468304806
20240815_67_BVCZ_1,148029.421875,6162.35601239303
20240815_67_BVCZ_1,148029.578125,6143.88118920644
20240815_67_BVCZ_1,148029.78125,6199.21532615593
20240815_67_BVCZ_1,148030.15625,6273.55591136885
20240815_67_BVCZ_1,148030.390625,6231.70632721733
20240815_67_BVCZ_1,148030.53125,6204.76130836959
20240815_67_BVCZ_1,148030.734375,6227.69903722623
20240815_67_BVCZ_1,148031.078125,6240.77974907298
20240815_67_BVCZ_1,148031.328125,6208.77812573759
20240815_67_BVCZ_1,148031.46875,6254.92784797757
20240815_67_BVCZ_1,148031.65625,6203.51590825017
20240815_67_BVCZ_1,148032.015625,6148.1970426948
20240815_67_BVCZ_1,148032.296875,6077.65341069265
20240815_67_BVCZ_1,148032.421875,6081.16044794712
20240815_67_BVCZ_1,148032.59375,6030.56263433348
20240815_67_BVCZ_1,148032.953125,5948.26843673219
20240815_67_BVCZ_1,148033.265625,5862.75478008215
20240815_67_BVCZ_1,148033.359375,5813.54651294926
20240815_67_BVCZ_1,148033.546875,5742.43818498101
20240815_67_BVCZ_1,148033.875,5674.5644163553
20240815_67_BVCZ_1,148034.21875,5543.52670758345
20240815_67_BVCZ_1,148034.3125,5520.37758550861
20240815_67_BVCZ_1,148034.46875,5418.37126393412
20240815_67_BVCZ_1,148034.8125,5326.46793324906
20240815_67_BVCZ_1,148035.15625,5220.55647202093
20240815_67_BVCZ_1,148035.265625,5189.63293485026
20240815_67_BVCZ_1,148035.40625,5145.97801142529
20240815_67_BVCZ_1,148035.734375,5058.52480957427
20240815_67_BVCZ_1,148036.125,4950.53429134134
20240815_67_BVCZ_1,148036.21875,4915.28223819858
20240815_67_BVCZ_1,148036.34375,4846.8530713287
20240815_67_BVCZ_1,148036.640625,4798.09532539425
20240815_67_BVCZ_1,148037.078125,4689.3808140668
20240815_67_BVCZ_1,148037.140625,4638.65019316334
20240815_67_BVCZ_1,148037.28125,4557.57769639136
20240815_67_BVCZ_1,148037.578125,4532.45307226927
20240815_67_BVCZ_1,148038.046875,4477.16583082918
20240815_67_BVCZ_1,148038.109375,4432.8475265894
20240815_67_BVCZ_1,148038.21875,4378.7610492447
20240815_67_BVCZ_1,148038.5,4335.86783626576
20240815_67_BVCZ_1,148038.984375,4284.07175579554
20240815_67_BVCZ_1,148039.046875,4330.30531812355
20240815_67_BVCZ_1,148039.140625,4272.76309147094
20240815_67_BVCZ_1,148039.4375,4240.27169088272
20240815_67_BVCZ_1,148039.671875,4189.3120277469
20240815_67_BVCZ_1,148039.9375,4184.2282260887
20240815_67_BVCZ_1,148040,4190.95019426105
20240815_67_BVCZ_1,148040.078125,4106.80322331229
20240815_67_BVCZ_1,148040.359375,4101.42071177818
20240815_67_BVCZ_1,148040.59375,4155.25718836409
20240815_67_BVCZ_1,148040.90625,4130.02468349144
20240815_67_BVCZ_1,148040.9375,4115.62449856678
20240815_67_BVCZ_1,148041.015625,4122.50418848152
20240815_67_BVCZ_1,148041.28125,4087.20387516829
20240815_67_BVCZ_1,148041.515625,4092.51289892509
20240815_67_BVCZ_1,148041.84375,4091.83497326114
20240815_67_BVCZ_1,148041.875,4154.14553790933
20240815_67_BVCZ_1,148041.953125,4194.93102709106
20240815_67_BVCZ_1,148042.203125,4192.06339068354
20240815_67_BVCZ_1,148042.4375,4203.23306210318
20240815_67_BVCZ_1,148042.8125,4265.37315368717
20240815_67_BVCZ_1,148042.828125,4293.18790666292
20240815_67_BVCZ_1,148042.890625,4300.82695069344
20240815_67_BVCZ_1,148043.140625,4302.15736627563
20240815_67_BVCZ_1,148043.34375,4366.07419068516
20240815_67_BVCZ_1,148043.765625,4399.14701391458
20240815_67_BVCZ_1,148043.765625,4447.52988175121
20240815_67_BVCZ_1,148043.84375,4489.08400528627
20240815_67_BVCZ_1,148044.0625,4540.05427443936
20240815_67_BVCZ_1,148044.265625,4548.92059368427
20240815_67_BVCZ_1,148044.71875,4590.44044251334
20240815_67_BVCZ_1,148044.734375,4633.7686692703
20240815_67_BVCZ_1,148044.765625,4714.90429249616
20240815_67_BVCZ_1,148045,4731.66347113971
20240815_67_BVCZ_1,148045.1875,4744.72312142134
20240815_67_BVCZ_1,148045.671875,4758.21026152701
20240815_67_BVCZ_1,148045.671875,4833.15557640424
20240815_67_BVCZ_1,148045.703125,4870.70270113185
20240815_67_BVCZ_1,148045.9375,4906.04404299399
20240815_67_BVCZ_1,148046.09375,4898.93883062128
20240815_67_BVCZ_1,148046.609375,4963.51922863795
20240815_67_BVCZ_1,148046.625,4967.32926126788
20240815_67_BVCZ_1,148046.65625,4953.51906018536
20240815_67_BVCZ_1,148046.859375,4946.52294365477
20240815_67_BVCZ_1,148047,4980.25640670397
20240815_67_BVCZ_1,148047.546875,4973.66280254403
20240815_67_BVCZ_1,148047.59375,4947.92640682903
20240815_67_BVCZ_1,148047.59375,4965.76308020587
20240815_67_BVCZ_1,148047.765625,4988.93158128672
20240815_67_BVCZ_1,148047.921875,4969.6048094059
20240815_67_BVCZ_1,148048.5,4938.08987460224
20240815_67_BVCZ_1,148048.515625,4921.09504602331
20240815_67_BVCZ_1,148048.546875,4935.25046273902
20240815_67_BVCZ_1,148048.703125,4889.71332367459
20240815_67_BVCZ_1,148048.84375,4841.63069100217
20240815_67_BVCZ_1,148049.4375,4821.36363636441
20240815_67_BVCZ_1,148049.453125,4818.06165701426
20240815_67_BVCZ_1,148049.5,4781.80595028071
20240815_67_BVCZ_1,148049.625,4732.842411439
20240815_67_BVCZ_1,148049.75,4687.86398418437
20240815_67_BVCZ_1,148050.390625,4696.3768408129
20240815_67_BVCZ_1,148050.390625,4678.10538811869
20240815_67_BVCZ_1,148050.4375,4625.46200911592
20240815_67_BVCZ_1,148050.5625,4597.07735733713
20240815_67_BVCZ_1,148050.671875,4577.01520682488
20240815_67_BVCZ_1,148051.328125,4599.95232662448
20240815_67_BVCZ_1,148051.328125,4582.69578589511
20240815_67_BVCZ_1,148051.40625,4532.31742306933
20240815_67_BVCZ_1,148051.46875,4502.19255370484
20240815_67_BVCZ_1,148051.59375,4449.09060244412
20240815_67_BVCZ_1,148052.25,4450.40925462872
20240815_67_BVCZ_1,148052.296875,4496.97029588578
20240815_67_BVCZ_1,148052.359375,4451.3304124612
20240815_67_BVCZ_1,148052.40625,4384.36902706936
20240815_67_BVCZ_1,148052.515625,4362.47950342623
20240815_67_BVCZ_1,148053.1875,4332.07447654731
20240815_67_BVCZ_1,148053.21875,4347.92511778457
20240815_67_BVCZ_1,148053.3125,4340.44015363537
20240815_67_BVCZ_1,148053.34375,4305.09926910314
20240815_67_BVCZ_1,148053.4375,4263.62301566283
20240815_67_BVCZ_1,148054.140625,4285.49089182171
20240815_67_BVCZ_1,148054.171875,4248.30922615059
20240815_67_BVCZ_1,148054.265625,4283.06475203844
20240815_67_BVCZ_1,148054.28125,4261.48902465071
20240815_67_BVCZ_1,148054.359375,4243.36039944928
20240815_67_BVCZ_1,148055.0625,4247.19578962637
20240815_67_BVCZ_1,148055.109375,4230.25553479625
20240815_67_BVCZ_1,148055.1875,4289.86416380692
20240815_67_BVCZ_1,148055.234375,4293.65624439673
20240815_67_BVCZ_1,148055.265625,4286.07703793619
20240815_67_BVCZ_1,148056,4305.14674070283
20240815_67_BVCZ_1,148056.0625,4312.50802228181
20240815_67_BVCZ_1,148056.125,4355.54337993272
20240815_67_BVCZ_1,148056.171875,4391.53790191161
20240815_67_BVCZ_1,148056.1875,4373.4283075392
20240815_67_BVCZ_1,148056.9375,4404.30819808883
20240815_67_BVCZ_1,148057.015625,4475.61215461429
20240815_67_BVCZ_1,148057.046875,4549.74984054012
20240815_67_BVCZ_1,148057.109375,4576.85055329073
20240815_67_BVCZ_1,148057.140625,4574.26561616106
20240815_67_BVCZ_1,148057.890625,4615.11319768432
20240815_67_BVCZ_1,148057.953125,4696.63374353453
20240815_67_BVCZ_1,148057.96875,4771.88035404941
20240815_67_BVCZ_1,148058.015625,4785.31804488925
20240815_67_BVCZ_1,148058.09375,4756.80492428205
20240815_67_BVCZ_1,148058.8125,4820.2407349386
20240815_67_BVCZ_1,148058.890625,4915.68181469171
20240815_67_BVCZ_1,148058.90625,4996.66321833678
20240815_67_BVCZ_1,148058.9375,4997.4373025945
20240815_67_BVCZ_1,148059.0625,5006.21338749788
20240815_67_BVCZ_1,148059.75,5033.07788217098
20240815_67_BVCZ_1,148059.8125,5112.00418190803
20240815_67_BVCZ_1,148059.859375,5151.73137069281
20240815_67_BVCZ_1,148059.84375,5156.76565983546
20240815_67_BVCZ_1,148060,5166.0893802804
20240815_67_BVCZ_1,148060.703125,5190.21239016908
20240815_67_BVCZ_1,148060.75,5239.98963895628
20240815_67_BVCZ_1,148060.765625,5236.57592716788
20240815_67_BVCZ_1,148060.796875,5250.72066806638
20240815_67_BVCZ_1,148060.953125,5259.07992041853
20240815_67_BVCZ_1,148061.625,5293.45551181777
20240815_67_BVCZ_1,148061.6875,5346.06502313773
20240815_67_BVCZ_1,148061.6875,5323.15094003102
20240815_67_BVCZ_1,148061.75,5323.21878207936
20240815_67_BVCZ_1,148061.90625,5343.717043119
20240815_67_BVCZ_1,148062.5625,5372.06337655815
20240815_67_BVCZ_1,148062.59375,5346.1141128238
20240815_67_BVCZ_1,148062.609375,5285.41122298131
20240815_67_BVCZ_1,148062.6875,5279.25200533703
20240815_67_BVCZ_1,148062.859375,5297.90216882817
20240815_67_BVCZ_1,148063.5,5320.63739808103
20240815_67_BVCZ_1,148063.515625,5291.92241993955
20240815_67_BVCZ_1,148063.53125,5256.59353638411
20240815_67_BVCZ_1,148063.640625,5240.79316003081
20240815_67_BVCZ_1,148063.8125,5247.83917189644
20240815_67_BVCZ_1,148064.4375,5277.03232493687
20240815_67_BVCZ_1,148064.4375,5223.98189819882
20240815_67_BVCZ_1,148064.453125,5164.44250584736
20240815_67_BVCZ_1,148064.5625,5153.04356617814
20240815_67_BVCZ_1,148064.796875,5145.55183774856
20240815_67_BVCZ_1,148065.359375,5161.97821721853
20240815_67_BVCZ_1,148065.375,5091.51651739023
20240815_67_BVCZ_1,148065.390625,5010.1825379899
20240815_67_BVCZ_1,148065.53125,5007.52134941278
20240815_67_BVCZ_1,148065.734375,4972.57615745752
20240815_67_BVCZ_1,148066.265625,4957.1584053154
20240815_67_BVCZ_1,148066.3125,4902.83492392571
20240815_67_BVCZ_1,148066.3125,4816.63970953649
20240815_67_BVCZ_1,148066.46875,4808.05195826376
20240815_67_BVCZ_1,148066.6875,4741.6033086041
20240815_67_BVCZ_1,148067.1875,4745.06347603856
20240815_67_BVCZ_1,148067.234375,4711.19931389716
20240815_67_BVCZ_1,148067.25,4679.60967043414
20240815_67_BVCZ_1,148067.421875,4632.40926011608
20240815_67_BVCZ_1,148067.640625,4645.56766595579
20240815_67_BVCZ_1,148068.109375,4606.44616944333
20240815_67_BVCZ_1,148068.171875,4597.08401347476
20240815_67_BVCZ_1,148068.1875,4603.34677814701
20240815_67_BVCZ_1,148068.359375,4532.66021926812
20240815_67_BVCZ_1,148068.609375,4526.19866067406
20240815_67_BVCZ_1,148069.03125,4481.1541835509
20240815_67_BVCZ_1,148069.09375,4471.45094606357
20240815_67_BVCZ_1,148069.109375,4447.65665123432
20240815_67_BVCZ_1,148069.3125,4418.84501194487
20240815_67_BVCZ_1,148069.5625,4416.08834036602
20240815_67_BVCZ_1,148069.9375,4434.92405261175
20240815_67_BVCZ_1,148070.015625,4441.24649629658
20240815_67_BVCZ_1,148070.046875,4408.57316538555
20240815_67_BVCZ_1,148070.265625,4351.34882691313
20240815_67_BVCZ_1,148070.515625,4343.83121116683
20240815_67_BVCZ_1,148070.875,4357.78051887268
20240815_67_BVCZ_1,148070.953125,4389.38908779862
20240815_67_BVCZ_1,148071,4330.92776612972
20240815_67_BVCZ_1,148071.203125,4291.10043501599
20240815_67_BVCZ_1,148071.46875,4281.51875124299
20240815_67_BVCZ_1,148071.78125,4304.25168199363
20240815_67_BVCZ_1,148071.875,4353.62908208433
20240815_67_BVCZ_1,148071.921875,4321.28074202622
20240815_67_BVCZ_1,148072.15625,4290.33535307052
20240815_67_BVCZ_1,148072.421875,4264.29552520806
20240815_67_BVCZ_1,148072.6875,4271.7482816043
20240815_67_BVCZ_1,148072.796875,4308.19858532949
20240815_67_BVCZ_1,148072.84375,4286.03803330753
20240815_67_BVCZ_1,148073.109375,4252.98841310687
20240815_67_BVCZ_1,148073.390625,4269.1985291623
