RT,PET_mz105_signal_1,PET_mz105_signal_2
15.06455,35192.000,178048.000
15.06936667,37440.000,181312.000
15.07418333,40248.000,182144.000
15.079,45560.000,181952.000
15.08381667,46816.000,176128.000
15.08863333,48368.000,175744.000
15.09345,52392.000,179904.000
15.09826667,51112.000,183808.000
15.10308333,53400.000,181440.000
15.1079,53064.000,183232.000
15.1127,53496.000,185600.000
15.11751667,53680.000,190016.000
15.12233333,53392.000,188992.000
15.12715,50696.000,188096.000
15.13196667,48936.000,190464.000
15.13678333,47424.000,193536.000
15.1416,44088.000,199488.000
15.14641667,44328.000,198976.000
15.15123333,45144.000,205248.000
15.15605,46520.000,202112.000
15.16086667,48920.000,207936.000
15.16568333,44752.000,214080.000
15.1705,48792.000,218624.000
15.1753,50240.000,221952.000
15.18011667,52704.000,223296.000
15.18493333,55280.000,224576.000
15.18975,56096.000,225024.000
15.19456667,60328.000,223104.000
15.19938333,60880.000,229568.000
15.2042,65880.000,226496.000
15.20901667,70336.000,232640.000
15.21383333,73408.000,233024.000
15.21865,77464.000,237632.000
15.22346667,79384.000,238272.000
15.22828333,82816.000,240000.000
15.2331,86728.000,241792.000
15.2379,90200.000,245824.000
15.24271667,90032.000,239040.000
15.24753333,87256.000,93976.000
15.25235,91168.000,29408.000
15.25716667,88928.000,19664.000
15.26198333,88232.000,20416.000
15.2668,90112.000,18336.000
15.27161667,87368.000,16488.000
15.27643333,86816.000,15818.000
15.28125,89576.000,14687.000
15.28606667,84392.000,13616.000
15.29088333,86040.000,13629.000
15.2957,85504.000,12483.000
15.3005,84400.000,11415.000
15.30531667,82192.000,11242.000
15.31013333,81968.000,11896.000
15.31495,82712.000,10707.000
15.31976667,79616.000,10132.000
15.32458333,78568.000,10081.000
15.3294,81392.000,8988.000
15.33421667,82136.000,9329.000
15.33903333,83368.000,9365.000
15.34385,83992.000,9199.000
15.34866667,84624.000,9893.000
15.35348333,86616.000,9161.000
15.3583,90040.000,9452.000
15.3631,90232.000,10846.000
15.36791667,92104.000,10281.000
15.37273333,90000.000,10868.000
15.37755,92192.000,11217.000
15.38236667,89472.000,10273.000
15.38718333,88608.000,8877.000
15.392,89872.000,8633.000
15.39681667,87664.000,8140.000
15.40163333,86696.000,8850.000
15.40645,86136.000,8540.000
15.41126667,83800.000,8503.000
15.41608333,80016.000,8529.000
15.4209,81104.000,7840.000
15.4257,81288.000,8093.000
15.43051667,75448.000,7208.000
15.43533333,73888.000,7138.000
15.44015,73184.000,7544.000
15.44496667,71968.000,7512.000
15.44978333,71600.000,6665.000
15.4546,67960.000,6967.000
15.45941667,65544.000,7304.000
15.46423333,63392.000,7054.000
15.46905,63248.000,6806.000
15.47386667,61912.000,7170.000
15.47868333,60504.000,6606.000
15.4835,61720.000,6178.000
15.4883,61792.000,7068.000
15.49311667,60264.000,5820.000
15.49793333,62392.000,6367.000
15.50275,62800.000,6443.000
15.50756667,63976.000,6183.000
15.51238333,65608.000,6203.000
15.5172,65928.000,5636.000
15.52201667,67664.000,6615.000
15.52683333,69176.000,5901.000
15.53165,70984.000,6196.000
15.53646667,66424.000,6948.000
15.54128333,67760.000,6154.000
15.5461,68048.000,6548.000
15.5509,68544.000,6471.000
15.55571667,66664.000,5904.000
15.56053333,65704.000,6406.000
15.56535,62624.000,6371.000
15.57016667,60864.000,6228.000
15.57498333,60912.000,5446.000
15.5798,58216.000,5740.000
15.58461667,60120.000,5943.000
15.58943333,59928.000,7022.000
15.59425,57928.000,7156.000
15.59906667,58984.000,8013.000
15.60388333,60008.000,8438.000
15.60868333,59736.000,9410.000
